npi,deactivation_date,source
1194758789,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1427381797,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1851622062,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1508813536,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1619201589,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1174853550,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548393911,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1609009976,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1982835062,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245360619,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1366623522,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1689290470,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1518421791,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1518437763,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1811345861,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1114855137,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1447838750,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1043494693,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1033584917,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1942918768,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1336763143,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1790593697,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1982412888,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1255053914,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1093852741,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1902954662,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235076944,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538170212,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245163914,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1275493413,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1841150042,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1255295861,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1215814017,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1871471334,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1144192659,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1477448363,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356131866,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235026048,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1396565008,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154215606,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1992519789,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1053130146,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1487473443,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1346070372,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1437976214,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1659114262,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245083120,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1710735600,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124884705,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1659145142,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1881466522,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1639853120,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1609653294,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1619661212,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1194401984,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1932896073,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1043920044,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1326751306,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1972211126,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1427762269,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548998008,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1376283671,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1770258725,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124788005,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1598430290,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1609447010,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1679143549,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1295328565,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1497347132,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1811582117,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1467049551,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1679164156,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538757182,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1295321396,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1790381986,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1942806070,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1811591423,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1609481126,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356969059,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1588276307,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1326650599,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1730707753,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1144846189,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1679107213,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538719687,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1114561974,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1508412453,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1750938585,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1063073237,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1730741745,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1649838335,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1255800041,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235619883,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1598251100,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124506928,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1407353154,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245730530,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629573001,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1730604133,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1376072249,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1437664489,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1598293722,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1295262616,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1225560162,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1922549435,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1194252361,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1740729805,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1063963684,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1225589757,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1699220020,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1770031817,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1811348824,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1174978191,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1174982912,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1225499346,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1174987713,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1679946560,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154793370,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1760868590,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1487021226,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1306217674,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1134506967,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1760877187,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1831589548,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1316339666,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1437541968,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1184020430,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1194115584,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1770989279,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1477956647,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1386049930,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1821497363,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1619383973,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1396159364,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1184055329,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1467897959,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1427484237,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1922430131,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1902144371,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1447595988,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1972845428,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1407100290,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1669726592,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1114275195,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235481011,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245583608,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1750646360,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1407102015,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1053668772,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1346502408,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1306100151,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629338975,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154696292,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1043577745,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1013275189,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154699908,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1164799409,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154691798,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1942598347,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1508149782,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1518240159,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1588947139,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1841579216,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1457631681,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1588948368,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1376838698,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629351010,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1407145634,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1841582939,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1376841791,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629362405,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1568771830,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1831499664,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1083923908,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154621639,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1205138674,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1982911020,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1962723734,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548587025,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1942513411,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1912227562,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1841502762,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1558675611,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1306163183,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1316250285,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1194043067,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538471693,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1053632489,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1790016137,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1730401498,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1346571619,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1639401458,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1922330984,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356679369,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1033447925,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235462409,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1831425941,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245566678,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1801121447,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356677074,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1508199464,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245464494,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1205060456,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1962637132,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1487880423,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1821224916,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1558507095,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1093957417,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1902041551,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1205075892,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1710123385,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1720233117,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1386881621,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1215182985,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1912146200,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1013156504,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1407002363,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1235385485,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629237169,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1831358001,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1942457866,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124289087,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1639335656,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1740447325,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356500128,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1518121896,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1588822837,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245492784,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1871760637,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1366613937,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1699940080,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1790956878,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1154593341,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1003086687,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1225207434,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1801066774,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1649456195,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1376724534,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1013192160,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1851579429,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1699943084,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1922283134,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1164611463,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1801079223,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1790971463,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548455009,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1598950354,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1790977700,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1306038054,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1295932077,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1477750073,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1245430008,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1609071760,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1568668812,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1386847051,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1659582351,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1881801017,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1578766705,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1639382252,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1184838161,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1376753897,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1588879795,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1811100472,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1982819314,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1134349277,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1275754129,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1174742639,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548481997,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1003036229,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1730308206,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1649498627,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1134345895,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1356560205,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1205052230,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1215152707,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124244553,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1134344708,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1134344997,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1174748776,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1942427091,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1144343468,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1023130606,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1295950012,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1629197645,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1225153430,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1447375340,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1548387459,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1780701078,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1194840447,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1710001425,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1861517492,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1124146972,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1538293865,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1265564579,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1225162290,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1811027147,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
1699802686,06/04/2026,CMS NPPES Monthly Deactivation V.2 2026-06-08
